Annual Estimates of the Resident,,,
Population for Counties in Virginia: as of,Statewide,,Current
".Powhatan County, Virginia","29,652",0.3474%,"$2,587,023"
".Prince Edward County, Virginia","22,802",0.2671%,"$1,989,387"
".Prince George County, Virginia","38,353",0.4493%,"$3,346,151"
".Prince William County, Virginia","470,335",5.5103%,"$41,034,915"
".Pulaski County, Virginia","34,027",0.3987%,"$2,968,725"
".Rappahannock County, Virginia","7,370",0.0863%,"$643,004"
".Richmond County, Virginia","9,023",0.1057%,"$787,222"
".Rockbridge County, Virginia","22,573",0.2645%,"$1,969,407"
".Rockingham County, Virginia","81,948",0.9601%,"$7,149,647"
".Russell County, Virginia","26,586",0.3115%,"$2,319,526"
".Scott County, Virginia","21,566",0.2527%,"$1,881,550"
".Shenandoah County, Virginia","43,616",0.5110%,"$3,805,328"
".Smyth County, Virginia","30,104",0.3527%,"$2,626,458"
".Southampton County, Virginia","17,631",0.2066%,"$1,538,237"
".Spotsylvania County, Virginia","136,215",1.5959%,"$11,884,234"
".Stafford County, Virginia","152,882",1.7911%,"$13,338,365"
".Surry County, Virginia","6,422",0.0752%,"$560,295"
".Sussex County, Virginia","11,159",0.1307%,"$973,580"
".Tazewell County, Virginia","40,595",0.4756%,"$3,541,757"
".Warren County, Virginia","40,164",0.4706%,"$3,504,154"
".Washington County, Virginia","53,740",0.6296%,"$4,688,608"
".Westmoreland County, Virginia","18,015",0.2111%,"$1,571,739"
".Wise County, Virginia","37,383",0.4380%,"$3,261,523"
".Wythe County, Virginia","28,684",0.3361%,"$2,502,568"
".York County, Virginia","68,280",0.8000%,"$5,957,167"
".Alexandria city, Virginia","159,428",1.8678%,"$13,909,478"
".Bristol city, Virginia","16,762",0.1964%,"$1,462,420"
".Buena Vista city, Virginia","6,478",0.0759%,"$565,181"
".Charlottesville city, Virginia","47,266",0.5538%,"$4,123,776"
".Chesapeake city, Virginia","244,835",2.8684%,"$21,360,910"
".Colonial Heights city, Virginia","17,370",0.2035%,"$1,515,466"
".Covington city, Virginia","5,538",0.0649%,"$483,169"
".Danville city, Virginia","40,044",0.4691%,"$3,493,685"
".Emporia city, Virginia","5,346",0.0626%,"$466,418"
".Fairfax city, Virginia","24,019",0.2814%,"$2,095,565"
".Falls Church city, Virginia","14,617",0.1712%,"$1,275,277"
".Franklin city, Virginia","7,967",0.0933%,"$695,090"
".Fredericksburg city, Virginia","29,036",0.3402%,"$2,533,279"
".Galax city, Virginia","6,347",0.0744%,"$553,751"
".Hampton city, Virginia","134,510",1.5759%,"$11,735,479"
".Harrisonburg city, Virginia","53,016",0.6211%,"$4,625,442"
".Hopewell city, Virginia","22,529",0.2639%,"$1,965,568"
".Lexington city, Virginia","7,446",0.0872%,"$649,635"
".Lynchburg city, Virginia","82,168",0.9627%,"$7,168,841"
".Manassas city, Virginia","41,085",0.4813%,"$3,584,508"
".Manassas Park city, Virginia","17,478",0.2048%,"$1,524,888"
".Martinsville city, Virginia","12,554",0.1471%,"$1,095,288"
".Newport News city, Virginia","179,225",2.0998%,"$15,636,690"
".Norfolk city, Virginia","242,742",2.8439%,"$21,178,304"
".Norton city, Virginia","3,981",0.0466%,"$347,327"
".Poquoson city, Virginia","12,271",0.1438%,"$1,070,597"
".Portsmouth city, Virginia","94,398",1.1059%,"$8,235,862"
".Radford city, Virginia","18,249",0.2138%,"$1,592,155"
".Richmond city, Virginia","230,436",2.6997%,"$20,104,653"
".Roanoke city, Virginia","99,143",1.1615%,"$8,649,844"
".Salem city, Virginia","25,301",0.2964%,"$2,207,415"
".Staunton city, Virginia","24,932",0.2921%,"$2,175,221"
".Suffolk city, Virginia","92,108",1.0791%,"$8,036,068"
".Virginia Beach city, Virginia","449,974",5.2718%,"$39,258,497"
".Waynesboro city, Virginia","22,630",0.2651%,"$1,974,380"
".Williamsburg city, Virginia","14,954",0.1752%,"$1,304,679"
".Winchester city, Virginia","28,078",0.3290%,"$2,449,697"
Total Funds Distributed (excludes Fairfax County),"$644,573,383",,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: March 2020,,,
