Annual Estimates of the Resident,,,
Population for Counties in Virginia: as of,Statewide,,Current
".Hampton city, Virginia","134,510",1.58%,"$11,735,479 "
".Harrisonburg city, Virginia","53,016",0.62%,"$4,625,442 "
".Hopewell city, Virginia","22,529",0.26%,"$1,965,568 "
".Lexington city, Virginia","7,446",0.09%,"$649,635 "
".Lynchburg city, Virginia","82,168",0.96%,"$7,168,841 "
".Manassas city, Virginia","41,085",0.48%,"$3,584,508 "
".Manassas Park city, Virginia","17,478",0.20%,"$1,524,888 "
".Martinsville city, Virginia","12,554",0.15%,"$1,095,288 "
".Newport News city, Virginia","179,225",2.10%,"$15,636,690 "
".Norfolk city, Virginia","242,742",2.84%,"$21,178,304 "
".Norton city, Virginia","3,981",0.05%,"$347,327 "
".Petersburg city, Virginia","31,346",0.37%,"$2,734,818 "
".Poquoson city, Virginia","12,271",0.14%,"$1,070,597 "
".Portsmouth city, Virginia","94,398",1.11%,"$8,235,862 "
".Radford city, Virginia","18,249",0.21%,"$1,592,155 "
".Richmond city, Virginia","230,436",2.70%,"$20,104,653 "
".Roanoke city, Virginia","99,143",1.16%,"$8,649,844 "
".Salem city, Virginia","25,301",0.30%,"$2,207,415 "
".Staunton city, Virginia","24,932",0.29%,"$2,175,221 "
".Suffolk city, Virginia","92,108",1.08%,"$8,036,068 "
".Virginia Beach city, Virginia","449,974",5.27%,"$39,258,497 "
".Waynesboro city, Virginia","22,630",0.27%,"$1,974,380 "
".Williamsburg city, Virginia","14,954",0.18%,"$1,304,679 "
".Winchester city, Virginia","28,078",0.33%,"$2,449,697 "
Total Funds Distributed (excludes Fairfax County),"$644,573,383 ",,
"Source: U.S. Census Bureau, Population Division",,,
By:,By:,By:,
Signature:,Signature:,Signature:,
Title:,Title:,Title:,
Date:,Date:,Date:,
